price,room,space,name,link
382.000€,3 hab.,109 m²,"Piso en calle Puerto Príncipe, 29, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/95691269/
230.000€,2 hab.,72 m²,"Piso en plaza maragall, 12, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96790037/
180.000€,2 hab.,60 m²,"Piso en calle de Francesc Tàrrega, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97182603/
430.000€,2 hab.,73 m²,"Ático en calle de Garcilaso, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/92055048/
315.000€,2 hab.,95 m²,"Piso en paseo de Maragall, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97057636/
580.000€,2 hab.,91 m²,"Dúplex en pasaje Maragall, 174, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96873408/
680.000€,4 hab.,108 m²,"Piso en pasaje Maragall, 174, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96845820/
210.000€,2 hab.,74 m²,"Piso en calle de Pinar del Rio, Barcelona, 35, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/85189881/
159.900€,1 hab.,50 m²,"Piso en calle de la Riera d'Horta, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96852158/
208.000€,2 hab.,71 m²,"Piso en calle de Pinar del Rio, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96245402/
210.000€,2 hab.,65 m²,"Piso en calle de Pinar del Rio, s/n, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96847230/
365.000€,3 hab.,116 m²,"Piso en El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96518866/
219.000€,3 hab.,65 m²,"Piso en El Congrés i els Indians, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97180672/
219.000€,3 hab.,65 m²,"Piso en calle de Matanzas, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97067394/
167.000€,3 hab.,70 m²,"Piso en calle del Foc Follet, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/95691349/
182.000€,3 hab.,88 m²,"Piso en calle del Foc Follet, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96546404/
139.000€,3 hab.,64 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97255565/
330.800€,3 hab.,94 m²,"Piso en paseo DE LA HAVANA, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97251295/
139.000€,3 hab.,64 m²,"Piso en calle de l'Estadella, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97245634/
139.000€,3 hab.,64 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97237648/
139.000€,3 hab.,64 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97236964/
298.000€,3 hab.,102 m²,"Piso en calle de la Barcelonesa, 10, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96702169/
119.000€,3 hab.,50 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97253798/
150.000€,2 hab.,72 m²,"Piso en calle de Sas, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/95579500/
286.000€,3 hab.,130 m²,"Piso en Mare Eterna, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96516437/
139.000€,3 hab.,64 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97232358/
139.000€,3 hab.,67 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96822139/
85.000€,68 m²,Bajo exterior con ascensor,"Estudio en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96706535/
156.000€,3 hab.,70 m²,"Piso en FLIX, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97225147/
139.000€,3 hab.,64 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97231547/
135.000€,3 hab.,51 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97175634/
148.900€,2 hab.,69 m²,"Piso en calle sas, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/95847638/
294.995€,4 hab.,291 m²,"Casa o chalet independiente en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96429768/
227.000€,4 hab.,85 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96978703/
164.000€,3 hab.,70 m²,"Piso en Sant Adria, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96662669/
135.000€,2 hab.,79 m²,"Piso en calle de Llinars del Vallès, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96285275/
135.000€,2 hab.,56 m²,"Piso en calle de l'Estadella, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97189710/
144.000€,3 hab.,54 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/97075220/
185.000€,3 hab.,72 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96647708/
425.000€,4 hab.,170 m²,"Ático en paseo de l'Havana, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96117266/
129.900€,3 hab.,72 m²,"Piso en calle de Claramunt, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/95156906/
135.000€,3 hab.,51 m²,"Piso en El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96866294/
133.900€,3 hab.,50 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96789750/
133.900€,3 hab.,50 m²,"Piso en calle de Sant Adrià, El Bon Pastor, Barcelona",https://www.idealista.com/inmueble/96528898/
149.000€,3 hab.,61 m²,"Piso en calle de Mireia, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/97243313/
219.000€,3 hab.,84 m²,"Piso en Tossal, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/97204890/
155.000€,2 hab.,77 m²,"Piso en calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/95850205/
137.000€,3 hab.,65 m²,"Piso en calle de Finestrelles, La Trinitat Vella, Barcelona",https://www.idealista.com/inmueble/96533759/
